townland_name,has_parish,has_barony,has_county,detected_at
JOHNSTOWN LOWER,False,False,False,2026-06-09
JOHNSTOWN UPPER,False,False,False,2026-06-09
SLIEVEDUFF,False,False,False,2026-06-09
BALLINABRANNAGH,False,False,False,2026-06-09
BALLINAHEESE,False,False,False,2026-06-09
BALLINAKILL,False,False,False,2026-06-09
BALLINCLEA,False,False,False,2026-06-09
BALLYMONEY ED KILBRIDE,False,False,False,2026-06-09
BALLYRICHARD,False,False,False,2026-06-09
BARRANISKY EAST,False,False,False,2026-06-09
BARRANISKY WEST,False,False,False,2026-06-09
CARRYCOLE,False,False,False,2026-06-09
FERRYBANK,False,False,False,2026-06-09
GLENTEIGE,False,False,False,2026-06-09
JOHNSTOWN NORTH,False,False,False,2026-06-09
JOHNSTOWN SOUTH,False,False,False,2026-06-09
KEELOGE,False,False,False,2026-06-09
KILBRIDE ARKLOW BY,False,False,False,2026-06-09
KILLEAGH,False,False,False,2026-06-09
KILLINISKYDUFF,False,False,False,2026-06-09
MARSH,False,False,False,2026-06-09
RAHEEN ARKLOW BY,False,False,False,2026-06-09
SEABANK,False,False,False,2026-06-09
SHEEPWALK,False,False,False,2026-06-09
SHELTON,False,False,False,2026-06-09
SHELTON ABBEY,False,False,False,2026-06-09
SNUGBOROUGH,False,False,False,2026-06-09
TEMPLEMICHAEL,False,False,False,2026-06-09
TEMPLERAINY,False,False,False,2026-06-09
TIKNOCK,False,False,False,2026-06-09
ARKLOW TOWNSHIP PART OF F,False,False,False,2026-06-09
BALLEESE LOWER,False,False,False,2026-06-09
BALLEESE UPPER,False,False,False,2026-06-09
BALLEESE WOOD,False,False,False,2026-06-09
BALLINDOYLE,False,False,False,2026-06-09
GLASNARGET SOUTH,False,False,False,2026-06-09
KEELOGES,False,False,False,2026-06-09
MOUNTLUSK,False,False,False,2026-06-09
TICLASH,False,False,False,2026-06-09
TIMULLIN,False,False,False,2026-06-09
BALLINVALLY,False,False,False,2026-06-09
BALLINVALLY LOWER ED ARKLOW RURAL,False,False,False,2026-06-09
BALLINVALLY UPPER ED ARKLOW RURAL,False,False,False,2026-06-09
BALLYRUSH,False,False,False,2026-06-09
BARNACLEAGH EAST,False,False,False,2026-06-09
BARNACLEAGH NORTH,False,False,False,2026-06-09
