source_file,source_townland,source_townland_upper,geojson_townland,match_type,match_score,record_count,approval_status
wicklow-census-data.csv,CRONE UPPER,CRONE UPPER,MONEY UPPER,FUZZY,82,1539,PENDING
wicklow-census-data.csv,DEERPARK (ED Rathdangan),DEERPARK (ED RATHDANGAN),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BAHANA,BAHANA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,DRUMBAWN,DRUMBAWN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,DOWNS T,DOWNS T,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYFOYLE,BALLYFOYLE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILLAMOAT UPPER,KILLAMOAT UPPER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYLEA,BALLYLEA,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,DONARD DEMESNE EAST,DONARD DEMESNE EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYROGAN LOWER,BALLYROGAN LOWER,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,CULLENTRAGH PARK,CULLENTRAGH PARK,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILCANDRA (ED Dunganstown West),KILCANDRA (ED DUNGANSTOWN WEST),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,GLENTEIGE,GLENTEIGE,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,GLENDARRAGH,GLENDARRAGH,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILMALIN,KILMALIN,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYDOWLING,BALLYDOWLING,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLYMONEY (ED Kilbride),BALLYMONEY (ED KILBRIDE),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,KILPEDDER EAST,KILPEDDER EAST,,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BAHANA (King),BAHANA (KING),,NO_MATCH,0,1539,NEEDS_REVIEW
wicklow-census-data.csv,BALLINTOMBAY,BALLINTOMBAY,,NO_MATCH,0,1539,NEEDS_REVIEW
